Province_State,Country_Region,Lat,Long_
,Liechtenstein,47.166000000000004,9.5554
,Uruguay,-32.5228,-55.7658
,Ghana,7.9465,-1.0232
Puerto Rico,US,18.2208,-66.5901
,Jersey,49.19,-2.11
,Monaco,43.7384,7.4246
,Namibia,-22.9576,18.4904
,Seychelles,-4.6796,55.492
,Trinidad and Tobago,10.6918,-61.2225
,Venezuela,6.4238,-66.5897
,Curacao,12.1696,-68.99
,Eswatini,-26.5225,31.4659
,Gabon,-0.8037,11.6094
,Guatemala,15.7835,-90.2308
,Guernsey,49.45,-2.58
,Guyana,4.8604,-58.9302
,Jordan,30.5852,36.2384
,Mauritania,21.0079,10.9408
,Rwanda,-1.9403,29.8739
,Saint Lucia,13.9094,-60.9789
,Saint Vincent and the Grenadines,12.9843,-61.2872
,Suriname,3.9193,-56.0278
"Virgin Islands, U.S.",US,18.3358,-64.8963
Oregon,US,44.572,-122.0709
French Guiana,France,3.9339,-53.1258
,Liechtenstein,47.166,9.5554
French Polynesia,France,-17.6797,-149.4068
Guam,US,13.4443,144.7937
,Kosovo,42.6026,20.903
Newfoundland and Labrador,Canada,53.1355,-57.6604
Prince Edward Island,Canada,46.5107,-63.4168
,Central African Republic,6.6111,20.9394
,Congo (Brazzaville),-4.0383,21.7587
,Equatorial Guinea,1.5,10.0
Mayotte,France,-12.8275,45.1662
,Mauritania,21.0079,-10.9408
North Dakota,US,47.5289,-99.784
,Uzbekistan,41.3775,64.5853
Netherlands,Netherlands,52.1326,5.2913
Nova Scotia,Canada,44.681999999999995,-63.7443
French Guiana,France,4.0,-53.0
Guadeloupe,France,16.25,-61.5833
,Guam,13.4443,144.7937
,Puerto Rico,18.2,-66.5
,Kosovo,42.6026,20.903000000000002
,Benin,9.3077,2.3158
,Congo (Brazzaville),-0.228,15.8277
Mayotte,France,-12.8431,45.1383
,Greenland,71.7069,-42.6043
,Liberia,6.4281,-9.4295
,Mayotte,-12.8275,45.1662
Curacao,Netherlands,12.1696,-68.99
,Republic of the Congo,-1.44,15.556
,Somalia,5.1521,46.1996
,Tanzania,-6.369,34.8888
,The Bahamas,24.25,-76.0
Virgin Islands,US,18.3358,-64.8963
Cayman Islands,United Kingdom,19.3133,-81.2546
Reunion,France,-21.1351,55.2471
,Barbados,13.1939,-59.5432
,Montenegro,42.5,19.3
,The Gambia,13.4667,-16.6
,Equatorial Guinea,1.6508,10.2679
,Kyrgyzstan,41.2044,74.7661
,Mauritius,-20.2,57.5
Aruba,Netherlands,12.5186,-70.0358
United States Virgin Islands,US,18.35,-64.933
,Zambia,-15.4167,28.2833
,Djibouti,11.8251,42.5903
,"Gambia, The",13.4432,-15.3101
,Montenegro,42.7087,19.3744
US,US,37.0902,-95.7129
Montserrat,United Kingdom,16.7425,-62.1874
,"Bahamas, The",25.0343,-77.3963
,Mauritius,-20.3484,57.5522
Greenland,Denmark,71.7069,-42.6043
New Caledonia,France,-20.9043,165.618
Bermuda,United Kingdom,32.3078,-64.7505
,Zambia,-13.1339,27.8493
,Chad,15.4542,18.7322
,El Salvador,13.7942,-88.8965
,Fiji,-17.7134,178.065
,Nicaragua,12.8654,-85.2072
,Greenland,72.0,-40.0
Aruba,Netherlands,12.5211,-69.9683
,Madagascar,-18.7669,46.8691
United States Virgin Islands,US,18.3358,-64.8963
,Haiti,18.9712,-72.2852
